Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,index,Smiles
CHEMBL1085949,13000.0,4.89,443,Cl.N=C(NCCCNCCCCCCCNCCCNC(=N)NC(=N)NCCC(c1ccccc1)c1ccccc1)NC(=N)NCCC(c1ccccc1)c1ccccc1
CHEMBL1086216,15600.0,4.81,666,CC(C)C[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN1CC1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)N)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(=O)N[C@@H](C)C(=O)O
CHEMBL1086217,10447.5,4.98,714,C#CCNCCCC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)N)[C@@H](C)O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)O)[C@@H](C)O)[C@@H](C)O
CHEMBL1089,13733.333333333334,4.86,560,NNCCc1ccccc1
CHEMBL1179,27484.545454545456,4.56,735,N[C@@H]1C[C@H]1c1ccccc1
CHEMBL1192435,882.3,6.05,1675,Cc1cc(NN)n2nc(SCc3ccccc3)nc2n1
CHEMBL1196431,500.0,6.3,406,CCNCCCCNCCCCNCCCCNCCCCNC/C=C\CNCCCCNCCCCNCCCCNCCCCNCC
CHEMBL1198896,500.0,6.3,1114,C/N=C(\NC)NCCCNCCCNCCCN/C(=N/C)NC
CHEMBL1215658,2316.6666666666665,5.64,1198,N[C@@H]1C[C@H]1c1ccc(OCC[C@H](NC(=O)c2ccccc2)C(=O)NCc2ccccc2)cc1
CHEMBL1232432,243.0,6.61,1306,COc1cc2nc(NCCCN(C)C)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC
CHEMBL1255743,25400.0,4.6,437,Cl.N[C@@H]1C[C@H]1c1ccccc1
CHEMBL140,9600.0,5.02,2485,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
CHEMBL1581095,25660.0,4.59,3,CCCn1c(SCc2ccc(Cl)cc2)nc2c1c(=O)[nH]c(=O)n2C
CHEMBL1594810,437000.0,3.36,1560,CC(=O)c1csc(Nc2ccccc2Cl)n1
CHEMBL1607608,40000.0,4.4,768,COc1cc(NS(=O)(=O)c2ccccc2)ccc1-n1nc(C)cc1C
CHEMBL16171,8870.0,5.05,1659,COc1c(O)cc(O)c2c(=O)cc(-c3ccccc3)oc12
CHEMBL165,10200.0,4.99,1341,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1
