Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,Smiles
CHEMBL1232432,243,6.61,COc1cc2nc(NCCCN(C)C)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC
CHEMBL2440565,27600,4.56,Cc1ccc(Cn2cc(CSC(=S)N3CCN(c4ncccn4)CC3)nn2)cc1
CHEMBL2440566,39800,4.4,Fc1ccccc1Cn1cc(CSC(=S)N2CCN(c3ncccn3)CC2)nn1
CHEMBL2440567,43900,4.36,Fc1ccc(Cn2cc(CSC(=S)N3CCN(c4ncccn4)CC3)nn2)cc1
CHEMBL3134355,26300,4.58,Cc1nccc(-c2cncc(S(=O)(=O)Nc3nc(-c4ccc(Cl)cc4)cs3)c2)n1
CHEMBL3415351,1590.736667,5.8,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccccc2)n1
CHEMBL3415352,1158.355,5.94,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cc(OC)c(OC)c(OC)c2)n1
CHEMBL3415353,1100.513333,5.96,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(C)cc2)n1
CHEMBL3415354,1080,5.97,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(CC(C)C)cc2)n1
CHEMBL3415355,1821.3,5.74,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(F)cc2)n1
CHEMBL3415356,2580.753333,5.59,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)n1
CHEMBL3415357,1590.736667,5.8,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(Cl)cc2)n1
CHEMBL3415358,1661.136667,5.78,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(F)c(F)c2)n1
CHEMBL3415359,1590.736667,5.8,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2ccc(Br)cc2)n1
CHEMBL3415360,3580.32,5.45,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cccc(Cl)c2)n1
CHEMBL3415361,2610.72,5.58,C#CCSc1nc(NNC(N)=S)c(C#N)c(-c2cccc(OC)c2)n1
CHEMBL3415362,2640.803333,5.58,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc(Cl)cc2)n1
CHEMBL3415363,7400,5.13,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc(F)c(F)c2)n1
CHEMBL3415364,3160.76,5.5,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc(C)cc2)n1
CHEMBL3415365,4880,5.31,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc(CC(C)C)cc2)n1
CHEMBL3415366,5063.303333,5.3,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2cccc(Cl)c2)n1
CHEMBL3415367,11191.46,4.95,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc([N+](=O)[O-])cc2)n1
CHEMBL3415529,41505.13333,4.38,C#CCSc1nc(NNC(N)=O)c(C#N)c(-c2ccc(Br)cc2)n1
CHEMBL3415539,45736.27333,4.34,C#CCSc1nc(Cl)c(C#N)c(-c2ccccc2)n1
CHEMBL3415540,3131.096667,5.5,C#CCSc1nc(Cl)c(C#N)c(-c2cc(OC)c(OC)c(OC)c2)n1
CHEMBL3415541,59204.17667,4.23,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(C)cc2)n1
CHEMBL3415542,26480,4.58,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(CC(C)C)cc2)n1
CHEMBL3415543,21822.43333,4.66,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(F)cc2)n1
CHEMBL3415545,8332.27,5.08,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(Cl)cc2)n1
CHEMBL3415546,24372.70333,4.61,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(F)c(F)c2)n1
CHEMBL3415547,24712.41333,4.61,C#CCSc1nc(Cl)c(C#N)c(-c2ccc(Br)cc2)n1
CHEMBL3415549,97285.36,4.01,N#Cc1c(Cl)nc(SCc2cn(Cc3ccccc3Cl)nn2)nc1-c1ccccc1
CHEMBL3415551,98438.26333,4.01,COc1cc(-c2nc(SCc3ccc(Cl)c(Cl)c3)nc(NNC(N)=S)c2C#N)cc(OC)c1OC
CHEMBL4065771,717,6.14,CCCSc1nc(Sc2ccccn2)c2nnn(CCc3cccs3)c2n1
CHEMBL4068480,758,6.12,CCCSc1nc(Sc2ccccn2)c2nnn(Cc3ccco3)c2n1
CHEMBL4069511,678,6.17,C#CCSc1nc(Sc2ccccn2)c2nnn(Cc3ccccc3)c2n1
CHEMBL4074390,960,6.02,CCCSc1nc(Sc2ccccn2)c2nnn(CC(C)C)c2n1
